dataset,n_models,models_used,smape_mean,smape_median,smape_fi_avg,smape_stack_svr
M101,1,mlp,13.60044415743123,13.60044415743123,13.60044415743123,13.60044415743123
M101,1,knn,9.934505906767708,9.934505906767708,9.934505906767708,9.934505906767708
M101,1,svr,9.530881774915995,9.530881774915995,9.530881774915995,9.530881774915995
M101,1,arima,8.715658305556492,8.715658305556492,8.715658305556492,8.715658305556492
M101,1,ets,7.13211930411482,7.13211930411482,7.13211930411482,7.13211930411482
M101,1,ces,7.375650432637265,7.375650432637265,7.375650432637265,7.375650432637265
M101,1,theta,6.908031017181468,6.908031017181468,6.908031017181468,6.908031017181468
M101,1,tbats,6.908031017181468,6.908031017181468,6.908031017181468,6.908031017181468
M101,9,rf_mlp_knn_svr_arima_ets_theta_tbats_ces,8.031215265737593,8.1204306217066,9.07564463936158,7.166939354384367
M101,8,rf_mlp_knn_arima_ets_theta_tbats_ces,7.8905215836893055,7.65708511612091,8.927957376637742,7.166938522786056
M101,8,rf_mlp_svr_arima_ets_theta_tbats_ces,7.910066571956843,7.557152196866128,9.03729223486916,7.166939107160836
M101,8,rf_mlp_knn_svr_arima_theta_tbats_ces,8.183860732382085,8.700459544848277,9.11380423996672,7.16693935438211
M101,8,rf_mlp_knn_svr_ets_theta_tbats_ces,7.966617854855375,8.27151341580875,9.030263514848812,7.166939247672749
M101,8,rf_knn_svr_arima_ets_theta_tbats_ces,7.4961315383800216,7.632848464096065,8.991364439036893,7.166896628004723
M101,8,mlp_knn_svr_arima_ets_theta_tbats_ces,7.846246771643983,7.643037892652169,7.938888364605168,7.16699496082566
M101,8,rf_mlp_knn_svr_arima_ets_tbats_ces,8.441824417459532,8.700459544848277,9.125957054190193,7.166939201469546
M101,8,rf_mlp_knn_svr_arima_ets_theta_tbats,8.1315704058249,8.674001034837216,9.107211735276763,7.166939308433791
M101,8,rf_mlp_knn_svr_arima_ets_theta_ces,8.441824417459532,8.700459544848277,9.114131138676543,7.166939201469546
M101,7,rf_mlp_svr_arima_ets_theta_ces,8.425344216994043,8.063369264625143,9.108571651686276,7.166938674418777
