dataset,n_models,models_used,rmse_mean,rmse_median,rmse_fi_avg,rmse_stack_svr
M1003,3,rf_mlp_knn,92.03982312672441,69.05786391193448,63.67875666291548,1007.9518474919646
M1003,3,mlp_svr_ces,72.35611970022711,68.35696468088261,48.130157369998436,1005.4167028577585
M1003,3,knn_arima_ces,64.16458257741947,66.76616256682753,63.898248912806515,1004.1900247186148
M1003,3,rf_knn_tbats,63.096746259896996,60.071085912671606,62.87661643982561,1007.6079275266574
M1003,3,rf_theta_tbats,66.45259908297238,71.98581624137636,59.04415531562656,776.3605479657851
M1003,3,rf_svr_tbats,49.047809644042005,57.57658522312912,40.68436848718289,1003.3933372778519
M1003,3,rf_ets_tbats,67.63848171049926,71.31395684903723,65.14372768180434,776.0121299680405
M1003,3,svr_tbats_ces,52.501977230111365,67.76091136821229,47.53047419173564,1002.1162844874536
M1003,3,mlp_theta_ces,88.56667522057626,72.3108639005451,71.07185588816513,1007.4581707783814
M1003,3,arima_tbats_ces,69.0907425800179,68.95377121938606,68.2376104595084,1003.7449804762867
M1003,3,knn_arima_tbats,64.95956794585787,66.84767504277706,63.64015184448314,1004.5609361075392
M1003,3,knn_svr_theta,50.323935474934494,54.78448908951123,45.42297733780159,1006.4274395872087
M1003,3,rf_arima_theta,64.6055802448407,65.57114689678696,61.344745158010205,1007.7317643466188
M1003,3,mlp_theta_tbats,89.00734999332367,71.98581624137636,87.48931009142098,1005.8509644626761
M1003,3,knn_ets_tbats,67.87549686049124,72.73500607627619,67.24425029666497,1004.3893070001931
M1003,3,mlp_knn_svr,78.59927389503531,64.79607794693722,50.86386663759263,1007.6757622571139
M1003,3,rf_knn_ets,64.14159854908603,60.7864632471353,63.762564107930956,1004.3449328247794
M1003,3,rf_tbats_ces,65.40093939519477,67.9731093153569,62.13767744827343,1005.9845283438016
M1003,3,arima_ets_tbats,71.06374906911152,71.98581624137636,70.34076687726892,792.6066877555003
M1003,3,mlp_knn_arima,91.41653981705159,76.917563121589,64.72509780515439,1004.2675286424875
M1003,3,svr_theta_tbats,53.63941962639286,71.98581624137636,35.018107990695256,1001.2459181600891
M1003,3,rf_knn_ces,62.19387326262359,59.69136927709568,61.95968902527378,1001.5409001832049
M1003,3,mlp_svr_arima,72.21678471075714,66.26643765193705,43.51961534812267,1003.8439607400727
M1003,3,rf_mlp_ets,87.94724585174033,75.53010215302972,66.32024571546621,1004.2945106693531
M1003,3,ets_theta_ces,72.00991698487594,71.98581624137636,72.2303153725371,1001.5613740977946
M1003,3,rf_ets_ces,66.47548474005761,67.26117967688789,66.40542652505584,1006.2506449685487
M1003,3,mlp_ets_theta,89.55257929298075,75.62115281248933,76.03732624271899,1008.6593452501309
M1003,3,ets_theta_tbats,73.22664250715391,71.98581624137636,75.34711015135211,781.2514654680376
M1003,3,knn_svr_ets,51.45034564600878,55.455977257632746,50.19815064794746,1004.4308336063556
M1003,3,svr_arima_tbats,51.6539050550635,64.49357648994616,44.72817820858078,999.6651211032182
M1003,3,knn_ets_ces,66.7526297555869,69.813588427174,66.22275024290828,1004.0535295963377
M1003,3,rf_mlp_tbats,87.51302244482781,71.73723371362648,61.72135548547719,1011.9172425881127
M1003,3,svr_ets_theta,54.935397792658925,71.15294042793894,45.98905889450882,1000.7300074684802
M1003,3,arima_ets_ces,70.03250675138138,68.95377121938606,69.89874268652142,1003.868713175177
M1003,3,rf_knn_svr,48.530787443125845,53.598937290971044,49.604941084921855,1005.0231733047337
M1003,3,svr_theta_ces,52.501977230111365,67.76091136821229,45.3916425792087,1002.1162844874536
M1003,3,mlp_arima_theta,88.26899715590953,73.35734905281537,70.62182491556149,1004.4160882975183
M1003,3,rf_knn_arima,61.53160949513305,59.773398189140124,61.636569804538766,1004.0420799371412
M1003,3,knn_theta_tbats,66.73058255776156,71.98581624137636,67.07980403251179,1002.4588096789724
